model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainlm,1,35,547423.1757303495,586927.4468655895,417200.67978175095
nar,trainlm,1,40,460875.41889956,300269.91441526107,836998.1679148182
nar,trainlm,1,5,453710.37609041255,450307.1027353487,562444.5700562672
nar,trainlm,20,1,93829.81711303876,92614.7984654874,105404.94824902988
nar,trainlm,20,10,81038.28408356865,36514.65581195522,276904.29855544213
nar,trainlm,20,15,24117.992909307584,0.00722870299559612,123795.75836882938
nar,trainlm,20,20,53592.150730828005,5681.358622266342,288284.3800421101
nar,trainlm,20,25,77854.44851967997,6396.093771915735,449934.34408657096
nar,trainlm,20,30,42288.9937815534,6.897183187417046e-07,257605.73579873372
nar,trainlm,20,35,299525.8762023152,270458.386015378,487793.4851657513
nar,trainlm,20,40,147866.74385507265,0.0055458563760686546,692304.1812106381
nar,trainlm,20,5,111990.55639592637,96634.60257493057,201528.07238117137
nar,trainlm,25,1,75261.8339664399,73619.243709164,78511.68629984233
nar,trainlm,25,10,516663.3350534556,522183.8096714167,545436.2567807215
nar,trainlm,25,15,126462.90597832756,105904.3593373316,207169.2804743864
nar,trainlm,25,20,814536.4195075134,832232.8384698022,909375.8938639049
nar,trainlm,25,25,122222.75053694235,77366.22570939301,373215.1103960287
nar,trainlm,25,30,66411.37240314166,12312.26341531952,324820.5627799649
nar,trainlm,25,35,52603.386572986914,8589.554225485665,256032.9072709973
nar,trainlm,25,40,52749.81456819657,1.0560744591879822e-05,264927.48332350474
nar,trainlm,25,5,365935.06079147494,318164.0567286912,685149.253838136
nar,trainlm,30,1,77272.36801312944,62157.256815322646,124999.63309301695
nar,trainlm,30,10,346057.98727598303,340995.8156294668,421424.2327625167
nar,trainlm,30,15,50250.205480935634,7728.835843880963,194641.3196424288
nar,trainlm,30,20,34212.23935476162,0.014514486199203234,213748.08194625663
nar,trainlm,30,25,68401.9240317683,273.52042487513256,342216.3904243417
nar,trainlm,30,30,79946.12267675203,0.009090527284215678,466375.7755014802
nar,trainlm,30,35,41187.86804786607,4.8396350608788785e-21,199780.32949743173
nar,trainlm,30,40,41911.73729859025,2.260784521259107e-08,185545.94845653736
nar,trainlm,30,5,190150.64671383786,163891.25329574035,331267.61583927623
nar,trainlm,35,1,73867.58350020902,64717.77361240275,121125.99343392965
nar,trainlm,35,10,104278.71675020746,75395.73867656046,262734.9779761952
nar,trainlm,35,15,360750.2719813501,282677.8635143877,702238.266552315
nar,trainlm,35,20,41817.237378412414,2660.212225796477,219829.19501687255
nar,trainlm,35,25,47486.19010689714,0.008841229595478006,226475.87163530296
nar,trainlm,35,30,57946.847544390665,4558.652547078691,302487.94677130104
nar,trainlm,35,35,28471.665611763663,3463.014227795122,126260.99223475106
nar,trainlm,35,40,49797.29266655422,1.0402688717903363e-07,305532.7286456146
